Covariance Matrix:
0.969939 0.003466 -0.003316 0.005014
0.003373 -0.000649 -0.005838 0.991428
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.998287, 1.020965
Element [0,1]: -0.005963, 0.009063
Element [0,2]: -0.011619, 0.002573
Element [0,3]: -0.004292, 0.010097
Element [1,0]: -0.005963, 0.009063
Element [1,1]: 0.998254, 1.020152
Element [1,2]: -0.010836, 0.003213
Element [1,3]: -0.007644, 0.006167
Element [2,0]: -0.011619, 0.002573
Element [2,1]: -0.010836, 0.003213
Element [2,2]: 0.968967, 0.987399
Element [2,3]: -0.013284, 0.001152
Element [3,0]: -0.004292, 0.010097
Element [3,1]: -0.007644, 0.006167
Element [3,2]: -0.013284, 0.001152
Element [3,3]: 0.980708, 1.001442

Covariance Matrix:
1.062178 -0.009271 0.009007 0.017844
-0.009271 1.015234 0.003089 0.018516
0.009007 0.003089 1.043341 -0.026173
0.017844 0.018516 -0.026173 1.031315
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.051241, 1.072572
Element [0,1]: -0.016653, -0.001445
Element [0,2]: 0.001684, 0.017397
Element [0,3]: 0.009629, 0.025781
Element [1,0]: -0.016653, -0.001445
Element [1,1]: 1.005207, 1.025266
Element [1,2]: -0.002310, 0.010994
Element [1,3]: 0.010031, 0.026386
Element [2,0]: 0.001684, 0.017397
Element [2,1]: -0.002310, 0.010994
Element [2,2]: 1.032330, 1.054119
Element [2,3]: -0.033825, -0.017724
Element [3,0]: 0.009629, 0.025781
Element [3,1]: 0.010031, 0.026386
Element [3,2]: -0.033825, -0.017724
Element [3,3]: 1.018241, 1.041731

Covariance Matrix:
1.002931 -0.000104 0.018804 0.000316
-0.000104 0.994649 -0.000509 -0.002044
0.018804 -0.000509 1.048816 0.011871
0.000316 -0.002044 0.011871 1.001671
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.992288, 1.014474
Element [0,1]: -0.006205, 0.006927
Element [0,2]: 0.011512, 0.028139
Element [0,3]: -0.005726, 0.008320
Element [1,0]: -0.006205, 0.006927
Element [1,1]: 0.982908, 1.005075
Element [1,2]: -0.008399, 0.007221
Element [1,3]: -0.009792, 0.006084
Element [2,0]: 0.011512, 0.028139
Element [2,1]: -0.008399, 0.007221
Element [2,2]: 1.038606, 1.061355
Element [2,3]: 0.004406, 0.017749
Element [3,0]: -0.005726, 0.008320
Element [3,1]: -0.009792, 0.006084
Element [3,2]: 0.004406, 0.017749
Element [3,3]: 0.992894, 1.011892

Covariance Matrix:
1.069474 -0.009009 -0.005754 0.006160
-0.009009 1.113368 0.000618 -0.005273
-0.005754 0.000618 1.054263 -0.003698
0.006160 -0.005273 -0.003698 1.074370
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.060625, 1.079848
Element [0,1]: -0.017115, -0.001453
Element [0,2]: -0.014068, 0.000555
Element [0,3]: -0.002330, 0.014635
Element [1,0]: -0.017115, -0.001453
Element [1,1]: 1.101102, 1.124031
Element [1,2]: -0.006976, 0.009226
Element [1,3]: -0.013772, 0.004452
Element [2,0]: -0.014068, 0.000555
Element [2,1]: -0.006976, 0.009226
Element [2,2]: 1.043542, 1.064580
Element [2,3]: -0.012198, 0.003067
Element [3,0]: -0.002330, 0.014635
Element [3,1]: -0.013772, 0.004452
Element [3,2]: -0.012198, 0.003067
Element [3,3]: 1.063989, 1.084823

Covariance Matrix:
1.003982 -0.000167 0.000136 -0.010263
-0.000167 0.976939 -0.001990 0.003570
0.000136 -0.001990 0.996612 -0.014690
-0.010263 0.003570 -0.014690 0.984278
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.993494, 1.016041
Element [0,1]: -0.007402, 0.007318
Element [0,2]: -0.006385, 0.007748
Element [0,3]: -0.018252, -0.003216
Element [1,0]: -0.007402, 0.007318
Element [1,1]: 0.967242, 0.986831
Element [1,2]: -0.010317, 0.004749
Element [1,3]: -0.003707, 0.009771
Element [2,0]: -0.006385, 0.007748
Element [2,1]: -0.010317, 0.004749
Element [2,2]: 0.985245, 1.007958
Element [2,3]: -0.021851, -0.008470
Element [3,0]: -0.018252, -0.003216
Element [3,1]: -0.003707, 0.009771
Element [3,2]: -0.021851, -0.008470
Element [3,3]: 0.971522, 0.995691

Covariance Matrix:
0.992606 0.000602 -0.007585 -0.009038
0.000602 0.999039 -0.001370 -0.012401
-0.007585 -0.001370 1.051698 -0.001317
-0.009038 -0.012401 -0.001317 1.028667
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.979987, 1.004157
Element [0,1]: -0.007510, 0.008255
Element [0,2]: -0.014768, -0.000020
Element [0,3]: -0.016166, -0.002211
Element [1,0]: -0.007510, 0.008255
Element [1,1]: 0.989189, 1.008908
Element [1,2]: -0.009932, 0.006250
Element [1,3]: -0.020641, -0.005550
Element [2,0]: -0.014768, -0.000020
Element [2,1]: -0.009932, 0.006250
Element [2,2]: 1.039574, 1.064421
Element [2,3]: -0.007590, 0.006423
Element [3,0]: -0.016166, -0.002211
Element [3,1]: -0.020641, -0.005550
Element [3,2]: -0.007590, 0.006423
Element [3,3]: 1.019424, 1.039053

Covariance Matrix:
0.978241 0.006336 0.012939 0.002770
0.006336 0.994095 0.000682 -0.000648
0.012939 0.000682 1.005441 -0.000894
0.002770 -0.000648 -0.000894 0.980977
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.967565, 0.988255
Element [0,1]: -0.000389, 0.012621
Element [0,2]: 0.004890, 0.018783
Element [0,3]: -0.003134, 0.009704
Element [1,0]: -0.000389, 0.012621
Element [1,1]: 0.982229, 1.004989
Element [1,2]: -0.007063, 0.007194
Element [1,3]: -0.008077, 0.006655
Element [2,0]: 0.004890, 0.018783
Element [2,1]: -0.007063, 0.007194
Element [2,2]: 0.993986, 1.014855
Element [2,3]: -0.007896, 0.005600
Element [3,0]: -0.003134, 0.009704
Element [3,1]: -0.008077, 0.006655
Element [3,2]: -0.007896, 0.005600
Element [3,3]: 0.970113, 0.990916

Covariance Matrix:
1.010355 -0.003310 -0.005776 0.006127
-0.003310 1.000289 -0.000312 -0.001134
-0.005776 -0.000312 1.006938 0.007065
0.006127 -0.001134 0.007065 0.999804
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 1.000355, 1.019321
Element [0,1]: -0.009612, 0.004497
Element [0,2]: -0.013248, 0.001039
Element [0,3]: -0.002514, 0.013380
Element [1,0]: -0.009612, 0.004497
Element [1,1]: 0.990941, 1.009780
Element [1,2]: -0.007218, 0.006321
Element [1,3]: -0.008149, 0.006952
Element [2,0]: -0.013248, 0.001039
Element [2,1]: -0.007218, 0.006321
Element [2,2]: 0.996149, 1.017642
Element [2,3]: -0.001095, 0.014502
Element [3,0]: -0.002514, 0.013380
Element [3,1]: -0.008149, 0.006952
Element [3,2]: -0.001095, 0.014502
Element [3,3]: 0.987855, 1.008505

Covariance Matrix:
1.001834 0.008978 0.008391 0.012463
0.008978 0.996867 0.013309 0.024618
0.008391 0.013309 0.979630 0.019877
0.012463 0.024618 0.019877 0.999701
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.991683, 1.013371
Element [0,1]: 0.001531, 0.015294
Element [0,2]: 0.000740, 0.016038
Element [0,3]: 0.005551, 0.019708
Element [1,0]: 0.001531, 0.015294
Element [1,1]: 0.986373, 1.007505
Element [1,2]: 0.005936, 0.020547
Element [1,3]: 0.016361, 0.031912
Element [2,0]: 0.000740, 0.016038
Element [2,1]: 0.005936, 0.020547
Element [2,2]: 0.970201, 0.989393
Element [2,3]: 0.012861, 0.026447
Element [3,0]: 0.005551, 0.019708
Element [3,1]: 0.016361, 0.031912
Element [3,2]: 0.012861, 0.026447
Element [3,3]: 0.987764, 1.010077

Covariance Matrix:
1.010637 0.005881 0.008771 0.006977
0.005881 1.011150 0.014499 0.008809
0.008771 0.014499 1.016067 0.012979
0.006977 0.008809 0.012979 1.026066
Bootstrap Confidence Intervals for Covariance Matrix:
Element [0,0]: 0.998760, 1.019681
Element [0,1]: -0.000358, 0.012981
Element [0,2]: 0.001207, 0.017247
