node1,node2,flow,degree,class
921,6280,-1.0,147,0
6283,17836,1.0,2,1
9545,21384,1.0,3,1
9543,21382,1.0,2,1
2425,14827,1.0,2,1
2424,11003,1.0,5,1
12564,25039,1.0,3,1
6290,13343,1.0,4,1
2420,14824,1.0,3,1
9541,21381,1.0,3,1
6296,17841,1.0,2,1
6297,17845,1.0,2,1
7056,12567,-1.0,5,1
2410,3182,1.0,4,1
7184,9535,-1.0,4,1
6303,17852,1.0,3,1
9532,21361,1.0,2,1
9551,13370,1.0,4,1
12558,25025,1.0,2,1
12544,25013,1.0,2,1
9553,21396,1.0,4,1
12545,25014,1.0,4,1
9569,21415,1.0,3,1
12546,25016,1.0,2,1
9565,21410,1.0,4,1
12548,25017,1.0,4,1
2448,3183,1.0,4,1
6273,17822,1.0,3,1
6274,17824,1.0,2,1
9563,21408,1.0,2,1
220,6275,-1.0,5,1
9562,21406,1.0,2,1
2440,14841,1.0,2,1
9559,18753,1.0,3,1
2436,14838,1.0,3,1
12552,25020,1.0,3,1
12554,25021,1.0,3,1
12557,25024,1.0,2,1
9554,21398,1.0,2,1
6218,6219,-1.0,5,1
2505,14872,1.0,3,1
6218,17785,1.0,4,1
6163,17744,1.0,3,1
12466,24919,1.0,2,1
6165,17745,1.0,2,1
12467,24922,1.0,2,1
12468,24923,1.0,4,1
12469,24924,1.0,3,1
6169,14780,1.0,4,1
9641,16279,1.0,3,1
12471,24926,1.0,4,1
6177,6926,1.0,3,1
12474,24928,1.0,2,1
12476,24929,1.0,3,1
12477,24930,1.0,2,1
6179,17753,1.0,3,1
12478,24932,1.0,2,1
9639,21486,1.0,2,1
12480,24933,1.0,4,1
12481,19042,1.0,4,1
12482,16869,1.0,3,1
12483,12484,1.0,3,1
9642,21495,1.0,2,1
12462,24914,1.0,3,1
12444,24892,1.0,5,1
12445,24894,1.0,2,1
12446,24896,1.0,2,1
12447,24897,1.0,2,1
12448,24898,1.0,2,1
845,12449,-1.0,29,0
7242,9648,-1.0,5,1
6150,17727,1.0,2,1
9646,21501,1.0,3,1
12451,24905,1.0,2,1
9644,21499,1.0,2,1
6155,9212,1.0,4,1
2578,14912,1.0,4,1
6158,17735,1.0,2,1
12456,24908,1.0,2,1
6160,17737,1.0,3,1
12459,24912,1.0,5,1
12460,24913,1.0,2,1
1502,12461,-1.0,5,1
6161,12151,1.0,5,1
9637,21483,1.0,2,1
6184,17758,1.0,4,1
9615,11390,1.0,4,1
9613,21453,1.0,2,1
9612,17802,1.0,3,1
12499,24955,1.0,3,1
12501,24957,1.0,2,1
9607,21447,1.0,2,1
9605,21446,1.0,2,1
12504,24961,1.0,2,1
2514,14882,1.0,2,1
12505,24962,1.0,2,1
9601,21441,1.0,2,1
9600,21439,1.0,2,1
9597,21436,1.0,2,1
9596,21435,1.0,2,1
12509,15225,1.0,4,1
12510,24969,1.0,2,1
6216,7273,1.0,4,1
12496,24950,1.0,2,1
9615,9616,-1.0,4,1
9618,21458,1.0,2,1
12490,13238,1.0,3,1
12486,24936,1.0,4,1
9632,21479,1.0,2,1
6185,16554,1.0,3,1
12487,19376,1.0,4,1
12488,24937,1.0,3,1
9628,21475,1.0,3,1
6187,17767,1.0,2,1
9625,21469,1.0,2,1
12495,24944,1.0,2,1
9624,21464,1.0,3,1
12492,24941,1.0,4,1
6190,17770,1.0,3,1
6191,17771,1.0,2,1
6192,17772,1.0,4,1
9621,21462,1.0,2,1
9620,21460,1.0,2,1
12306,24742,1.0,2,1
9766,21645,1.0,4,1
6007,17580,1.0,3,1
3014,8853,1.0,5,1
12135,24528,1.0,3,1
12138,24532,1.0,2,1
12139,24533,1.0,2,1
9936,21855,1.0,2,1
12141,24537,1.0,3,1
12143,24538,1.0,2,1
9934,21854,1.0,2,1
9932,13116,1.0,5,1
9930,21570,1.0,5,1
9928,18143,1.0,3,1
12147,12526,1.0,3,1
9926,21845,1.0,2,1
3335,9925,-1.0,4,1
12149,16035,1.0,4,1
5818,17409,1.0,2,1
12150,24547,1.0,2,1
9924,21841,1.0,2,1
12134,24525,1.0,3,1
5810,17399,1.0,5,1
12152,24550,1.0,2,1
3016,15187,1.0,3,1
