node1,node2,flow,AFRC,class
957,12219,-1.0,-8,1
7360,12223,-1.0,-6,1
6887,12231,-1.0,-2,1
3403,9852,-1.0,-1,1
12226,17011,1.0,3,0
454,2865,-1.0,-6,1
4577,12230,-1.0,-19,1
10920,12571,-1.0,-2,1
6306,7531,1.0,-1,1
5950,12899,-1.0,-8,1
7526,12901,-1.0,-5,1
12905,19765,1.0,3,0
1580,6700,-1.0,-5,1
10156,12877,-1.0,-1,1
4340,12878,-1.0,-11,1
1966,2510,1.0,-3,1
5345,12880,-1.0,-2,1
12887,14535,1.0,-1,1
4644,12890,-1.0,-8,1
9204,20961,1.0,-1,1
12926,25504,1.0,-1,1
8158,12927,-1.0,-4,1
3981,6752,-1.0,4,0
6144,9194,-1.0,-2,1
12935,19431,1.0,-3,1
555,9193,-1.0,-14,1
9192,10337,1.0,-1,1
9201,11704,1.0,-1,1
1722,1923,-1.0,-1,1
4830,12915,-1.0,-14,1
6733,13457,1.0,-1,1
2189,6734,-1.0,-14,1
9212,16012,1.0,-1,1
6738,12568,1.0,-2,1
3978,6740,-1.0,-5,1
4785,12874,-1.0,-11,1
5816,12826,-1.0,-4,1
11211,12828,-1.0,-1,1
9305,12488,1.0,-1,1
9304,11654,1.0,-1,1
9303,21056,1.0,-2,1
9052,9302,-1.0,-1,1
12834,16117,1.0,3,0
10309,12835,-1.0,-2,1
6653,16005,1.0,3,0
7249,9311,-1.0,-4,1
12811,23159,1.0,-1,1
4969,9321,-1.0,-8,1
1717,12812,-1.0,-4,1
12813,25358,1.0,-1,1
4057,12823,-1.0,-7,1
3056,12839,-1.0,-1,1
8175,12840,-1.0,-1,1
6682,6864,1.0,-4,1
4794,9277,-1.0,-1,1
3815,6684,-1.0,-4,1
7764,9275,-1.0,4,0
9281,20790,1.0,-1,1
9283,14194,1.0,-2,1
1849,9296,-1.0,-2,1
2149,12846,-1.0,-4,1
2576,9294,-1.0,-1,1
1522,9293,-1.0,-2,1
2419,9288,-1.0,-1,1
3511,12852,-1.0,-2,1
5713,6848,-1.0,-3,1
665,13021,-1.0,-1,1
917,9107,-1.0,-12,1
1364,13022,-1.0,-7,1
13025,13434,1.0,-1,1
2252,9100,-1.0,-3,1
2822,13028,-1.0,-4,1
6829,7000,1.0,3,0
13001,21028,1.0,3,0
6834,7630,1.0,-5,1
6836,17118,1.0,4,0
13007,25610,1.0,-1,1
1770,12865,1.0,4,0
511,1766,-1.0,-4,1
9688,13032,-1.0,-3,1
9071,11087,1.0,-2,1
1683,1783,1.0,-3,1
6644,13047,-1.0,-3,1
2144,6872,-1.0,-57,1
1606,6859,-1.0,-8,1
9097,12087,1.0,-4,1
7092,13036,-1.0,-1,1
5914,6870,-1.0,-2,1
10423,13044,-1.0,-1,1
1722,1922,1.0,-3,1
3078,9118,-1.0,-3,1
9024,12999,-1.0,-1,1
7218,12998,-1.0,-3,1
6782,18316,1.0,3,0
1561,9165,-1.0,-8,1
921,12967,-1.0,-146,1
11093,12969,-1.0,-1,1
6774,13702,1.0,3,0
4118,9178,-1.0,-4,1
5666,6767,-1.0,-1,1
5654,12953,-1.0,-3,1
944,9160,-1.0,-23,1
867,9137,-1.0,-17,1
5935,12988,-1.0,-1,1
4401,12993,-1.0,-1,1
5478,12994,-1.0,-3,1
12996,25599,1.0,-1,1
10711,12979,-1.0,-1,1
7592,9152,-1.0,-2,1
6419,9146,-1.0,-1,1
8357,9473,-1.0,-5,1
9468,11485,1.0,-2,1
2151,6403,-1.0,-5,1
9466,10599,1.0,-2,1
2435,9465,-1.0,-2,1
10814,12656,-1.0,-1,1
6414,17943,1.0,-1,1
9667,12651,-1.0,-2,1
3130,9479,-1.0,-7,1
2333,7710,1.0,-1,1
12638,13103,1.0,-1,1
6262,12639,-1.0,-3,1
4058,12640,-1.0,-3,1
9475,13037,1.0,-3,1
11036,12664,-1.0,-1,1
12673,14058,1.0,-2,1
12676,14441,1.0,3,0
9431,12079,1.0,-2,1
2223,6448,-1.0,-4,1
2508,6449,-1.0,-5,1
12683,25198,1.0,-2,1
1342,12685,-1.0,-3,1
6456,11031,1.0,-2,1
6457,10258,1.0,-2,1
2766,6439,-1.0,-3,1
917,9455,-1.0,-10,1
5662,12672,-1.0,-3,1
6419,6488,1.0,-1,1
2555,9449,-1.0,-1,1
7313,9447,-1.0,-1,1
2129,9512,-1.0,-20,1
5778,6321,-1.0,-1,1
12589,19359,1.0,-2,1
6333,8152,1.0,-1,1
929,9509,-1.0,-9,1
6339,6545,1.0,-3,1
6345,17885,1.0,3,0
2378,6832,1.0,-1,1
577,9513,-1.0,-10,1
3233,9529,-1.0,-4,1
9528,21359,1.0,-2,1
9523,12357,1.0,-1,1
1150,9521,-1.0,-19,1
12578,25063,1.0,-2,1
9278,12581,-1.0,-1,1
1349,12583,-1.0,-6,1
9516,21347,1.0,3,0
6350,7122,1.0,-2,1
6366,7392,1.0,-2,1
944,12618,-1.0,-23,1
10909,12622,-1.0,-1,1
7556,12623,-1.0,-1,1
5137,6371,-1.0,-9,1
9501,17350,1.0,-4,1
1059,12605,-1.0,-7,1
6361,11565,1.0,-1,1
9425,21239,1.0,-2,1
8151,12765,-1.0,-1,1
6579,7315,1.0,-1,1
6583,12813,1.0,-1,1
4059,9356,-1.0,-2,1
1714,9355,-1.0,-8,1
7788,12764,-1.0,-3,1
7718,9372,-1.0,5,0
12750,16302,1.0,3,0
9369,14261,1.0,-7,1
2133,14675,1.0,-2,1
5950,9364,-1.0,-8,1
1679,12795,-1.0,-6,1
6612,15186,1.0,3,0
2264,6620,-1.0,-1,1
3132,9348,-1.0,-1,1
4678,12778,-1.0,-7,1
3580,6602,-1.0,-6,1
968,12783,-1.0,-3,1
7086,12784,-1.0,-10,1
9342,13544,1.0,-2,1
6018,6554,-1.0,-9,1
168,2213,-1.0,-9,1
8787,9401,-1.0,-9,1
4885,12710,-1.0,-3,1
12312,12711,-1.0,-1,1
1925,12714,-1.0,-3,1
6553,8139,1.0,-3,1
6467,9163,1.0,-1,1
5592,9420,-1.0,-1,1
6524,9418,-1.0,-3,1
12694,18933,1.0,5,0
522,6477,-1.0,-13,1
648,2234,-1.0,-38,1
112,6508,-1.0,-28,1
8926,12735,-1.0,-1,1
12736,17321,1.0,-1,1
12738,25271,1.0,-1,1
2167,14693,1.0,-1,1
12739,13820,1.0,-1,1
9377,14949,1.0,-2,1
1486,6549,-1.0,-1,1
6219,6552,-1.0,-1,1
12732,23776,1.0,-1,1
7534,12731,-1.0,-1,1
12717,14488,1.0,-1,1
6515,7037,1.0,-1,1
2278,12722,-1.0,-10,1
1050,9392,-1.0,-14,1
5935,12727,-1.0,-2,1
9383,16821,1.0,-1,1
4909,16578,1.0,-1,1
3943,10661,-1.0,-4,1
11388,13659,1.0,-2,1
10656,13119,1.0,-1,1
10654,20685,1.0,3,0
2629,10653,-1.0,-8,1
4907,14261,1.0,-5,1
1494,10681,-1.0,-7,1
301,4900,-1.0,-128,1
1643,11370,-1.0,-1,1
10670,18478,1.0,3,0
8363,10668,-1.0,-7,1
4967,15415,1.0,-1,1
2296,11409,-1.0,-5,1
2786,4022,-1.0,-7,1
2129,11411,-1.0,-20,1
4564,10624,-1.0,-14,1
1600,4049,-1.0,-5,1
4042,15851,1.0,-1,1
10641,19043,1.0,3,0
8036,10640,-1.0,-2,1
3473,11401,-1.0,-4,1
921,10638,-1.0,-142,1
10635,16863,1.0,-1,1
7597,10740,-1.0,4,0
11312,23511,1.0,-2,1
9704,10737,-1.0,3,0
10736,11215,1.0,-2,1
7960,11320,-1.0,-8,1
2252,11322,-1.0,-3,1
2174,10742,-1.0,-33,1
183,10748,-1.0,-46,1
1405,10747,-1.0,-1,1
8034,11293,-1.0,-1,1
4162,7315,1.0,-1,1
11300,12273,1.0,-5,1
3034,11324,-1.0,-10,1
921,4881,-1.0,-134,1
10694,20961,1.0,-1,1
4090,11713,1.0,-2,1
2719,11362,-1.0,-1,1
10383,11348,-1.0,-7,1
5602,11347,-1.0,-2,1
4865,5305,1.0,-1,1
4859,7851,1.0,-4,1
10712,16585,1.0,-1,1
5711,10711,-1.0,-11,1
4872,4984,1.0,-2,1
11345,12011,1.0,-4,1
3658,11420,-1.0,-9,1
5146,10548,-1.0,-5,1
10545,22613,1.0,-1,1
5079,6691,1.0,-2,1
345,11504,-1.0,-13,1
54,11507,-1.0,-16,1
3893,8116,1.0,-1,1
454,11509,-1.0,-5,1
9548,10550,-1.0,-1,1
11480,23733,1.0,-2,1
1377,10562,-1.0,-4,1
3409,11483,-1.0,-2,1
11490,11491,-1.0,-2,1
3925,6215,1.0,-3,1
1176,4968,-1.0,-6,1
8717,11528,-1.0,-1,1
10513,16942,1.0,-1,1
839,5110,-1.0,-46,1
2616,11511,-1.0,-1,1
5428,10529,-1.0,-1,1
2435,11515,-1.0,-2,1
1045,11519,-1.0,-5,1
11523,23773,1.0,-1,1
5106,14488,1.0,-4,1
2041,11429,-1.0,-3,1
2974,10604,-1.0,-1,1
8462,10603,-1.0,-2,1
4998,7165,1.0,-2,1
8735,11436,-1.0,-2,1
900,11478,-1.0,-5,1
3473,10618,-1.0,-3,1
10616,13121,1.0,-2,1
1152,4973,-1.0,-12,1
216,11424,-1.0,-7,1
1450,10607,-1.0,-4,1
5013,11193,1.0,-2,1
5309,11461,-1.0,-4,1
6198,11462,-1.0,-1,1
5028,8534,1.0,-1,1
11466,13322,1.0,-2,1
2733,11469,-1.0,3,0
5031,8316,1.0,-2,1
5040,5088,1.0,-1,1
5267,11475,-1.0,-7,1
2723,11458,-1.0,-16,1
5708,11446,-1.0,-4,1
10585,22354,1.0,-1,1
10584,22653,1.0,-1,1
773,11455,-1.0,-21,1
11093,23300,1.0,-1,1
11098,17272,1.0,3,0
6419,10919,-1.0,-1,1
3988,10915,-1.0,-1,1
7905,11103,-1.0,-1,1
4618,5173,1.0,-8,1
10913,23088,1.0,3,0
9902,11073,-1.0,-2,1
10943,23131,1.0,-1,1
1244,10937,-1.0,-14,1
11078,12585,1.0,-4,1
6282,11080,-1.0,-2,1
5764,10932,-1.0,-10,1
1665,10928,-1.0,-6,1
11088,18276,1.0,3,0
11105,12195,1.0,-1,1
4381,16130,1.0,3,0
474,4354,-1.0,3,0
5120,10892,-1.0,-4,1
9676,11143,-1.0,-2,1
10888,19425,1.0,-2,1
10886,23051,1.0,-1,1
4627,8941,1.0,-3,1
45,4377,-1.0,-138,1
148,10908,-1.0,-13,1
4429,4576,-1.0,-1,1
4514,13222,1.0,-1,1
3185,10993,-1.0,-4,1
10990,14777,1.0,3,0
2819,10989,-1.0,-11,1
7435,11036,-1.0,-5,1
4515,16234,1.0,-2,1
594,10994,-1.0,-6,1
1241,4496,-1.0,-8,1
944,4499,-1.0,-24,1
4504,16226,1.0,-3,1
1645,11018,-1.0,-11,1
2101,11021,-1.0,-38,1
1436,11028,-1.0,-7,1
11061,17754,1.0,-1,1
6959,10958,-1.0,-1,1
9567,11063,-1.0,-2,1
411,11064,-1.0,-100,1
4565,4698,1.0,-10,1
4566,16277,1.0,3,0
4429,5628,1.0,-1,1
4573,16284,1.0,-1,1
4859,10947,-1.0,-3,1
4426,9492,1.0,-1,1
4425,16162,1.0,-2,1
4575,4576,1.0,-2,1
11009,11046,-1.0,-1,1
4532,12079,1.0,-1,1
4460,12734,1.0,4,0
4552,6830,1.0,-4,1
7154,10969,-1.0,-3,1
11050,14939,1.0,-1,1
10206,10962,-1.0,-8,1
9574,11054,-1.0,-3,1
10961,16890,1.0,3,0
1105,4172,-1.0,-28,1
10801,15265,1.0,-1,1
3368,10790,-1.0,-7,1
4771,4938,1.0,-2,1
10784,22918,1.0,-1,1
7397,11227,-1.0,-1,1
11230,12795,1.0,-2,1
4738,4928,1.0,-3,1
3588,10812,-1.0,-3,1
190,11234,-1.0,-9,1
6611,11235,-1.0,-4,1
10804,12019,1.0,-2,1
10716,10803,-1.0,-5,1
10802,15265,1.0,-1,1
4182,15580,1.0,-3,1
11274,20407,1.0,3,0
301,11275,-1.0,-133,1
2921,11277,-1.0,-5,1
454,4179,-1.0,-6,1
3779,4178,-1.0,-9,1
4804,14344,1.0,-1,1
11279,23480,1.0,3,0
7188,11281,-1.0,-1,1
3335,4793,-1.0,-1,1
4201,9102,1.0,5,0
4926,11262,-1.0,-6,1
4799,8679,1.0,-2,1
8441,11224,-1.0,-1,1
8207,10815,-1.0,5,0
551,10816,-1.0,-7,1
1861,10859,-1.0,-4,1
4318,4810,1.0,-2,1
4979,11180,-1.0,-2,1
7110,10848,-1.0,-2,1
5242,11185,-1.0,-1,1
10124,11187,-1.0,3,0
4322,16075,1.0,-1,1
10471,11154,-1.0,-1,1
3119,4330,-1.0,-1,1
454,4329,-1.0,-6,1
11172,23397,1.0,-2,1
1176,4708,-1.0,-6,1
9130,11192,-1.0,-9,1
4723,14542,1.0,3,0
3348,11212,-1.0,-2,1
10301,11219,-1.0,-2,1
4732,6739,1.0,-3,1
2634,11223,-1.0,-5,1
11206,15357,1.0,-3,1
7376,10828,-1.0,-1,1
217,10839,-1.0,-19,1
7150,11198,-1.0,-3,1
10838,13961,1.0,-1,1
3443,4716,-1.0,-5,1
11204,11243,1.0,-2,1
4288,16044,1.0,-1,1
111,5561,-1.0,-17,1
2293,5563,-1.0,-2,1
9855,11880,-1.0,-2,1
2381,11868,-1.0,-6,1
1263,11896,-1.0,-9,1
11855,11905,1.0,-2,1
11856,14783,1.0,-1,1
6410,11859,-1.0,-5,1
5552,8056,1.0,-3,1
10046,11863,-1.0,-1,1
3404,10164,-1.0,-3,1
3430,10125,-1.0,-7,1
152,10141,-1.0,-8,1
11911,19700,1.0,-1,1
3314,15361,1.0,-2,1
3184,10136,-1.0,-1,1
11915,14473,1.0,-4,1
5585,10130,-1.0,-7,1
3400,5606,-1.0,-10,1
5589,17173,1.0,3,0
3349,3391,1.0,-9,1
944,3348,-1.0,-26,1
8182,10154,-1.0,-1,1
3341,13820,1.0,-3,1
5583,14010,1.0,-4,1
3335,3475,1.0,-4,1
10879,11902,-1.0,-1,1
3332,4623,1.0,-3,1
11904,11979,1.0,-3,1
5497,6640,1.0,-3,1
4674,10203,-1.0,-4,1
2467,3439,-1.0,-4,1
1281,10199,-1.0,-13,1
3268,10198,-1.0,-3,1
5267,11819,-1.0,-6,1
9002,11822,-1.0,-3,1
5496,12738,1.0,-4,1
4284,11801,-1.0,-5,1
5118,10223,-1.0,-1,1
1994,10217,-1.0,-5,1
10211,10793,1.0,-1,1
1065,3432,-1.0,-70,1
8434,10188,-1.0,-2,1
10584,11842,-1.0,-1,1
5519,12683,1.0,-2,1
5528,17124,1.0,-1,1
3578,10183,-1.0,-3,1
2519,5536,-1.0,-2,1
11851,20822,1.0,3,0
5541,10231,1.0,-6,1
3417,14812,1.0,-2,1
1714,10189,-1.0,-8,1
498,3427,-1.0,-13,1
1746,5508,-1.0,-6,1
11834,13173,1.0,-1,1
909,10191,-1.0,-2,1
10124,22080,1.0,-1,1
3470,6570,1.0,-2,1
10045,21988,1.0,-1,1
5696,17292,1.0,-1,1
3844,5698,-1.0,5,0
10042,14949,1.0,-8,1
396,10040,-1.0,-11,1
2723,12009,-1.0,-17,1
7809,10036,-1.0,-1,1
5704,14390,1.0,3,0
1638,12003,-1.0,-10,1
4880,5710,-1.0,-2,1
3210,4913,1.0,-8,1
7532,11990,-1.0,-1,1
1425,11991,-1.0,-3,1
3196,15283,1.0,-4,1
3171,11771,1.0,-1,1
12032,15449,1.0,3,0
5245,5727,-1.0,-12,1
5336,5729,-1.0,-1,1
6310,12037,-1.0,-2,1
3148,15261,1.0,-4,1
3880,12030,-1.0,-2,1
10028,17886,1.0,-1,1
10027,12550,1.0,-2,1
10025,21961,1.0,3,0
5715,12991,1.0,3,0
10020,21323,1.0,-4,1
12019,24400,1.0,-2,1
3158,9685,1.0,-2,1
878,3154,-1.0,-8,1
339,11943,-1.0,-12,1
2044,5628,-1.0,-6,1
10107,17391,1.0,3,0
8036,11948,-1.0,-3,1
8950,11949,-1.0,-3,1
11867,11958,-1.0,-5,1
2402,11920,-1.0,-1,1
5611,7317,1.0,-3,1
5612,14261,1.0,-5,1
862,11932,-1.0,-12,1
10118,10989,1.0,-2,1
6598,11934,-1.0,-10,1
856,11962,-1.0,-2,1
2457,11964,-1.0,-29,1
5664,9086,1.0,-4,1
1244,10073,-1.0,-14,1
5666,6380,1.0,-1,1
104,11983,-1.0,-19,1
780,11965,-1.0,-17,1
5645,15172,1.0,-1,1
8387,11971,-1.0,-1,1
10454,11972,-1.0,-2,1
2460,10090,-1.0,7,0
3691,10422,-1.0,-1,1
9405,10420,-1.0,-2,1
3242,5244,-1.0,-8,1
10387,10418,-1.0,-3,1
4851,10413,-1.0,-1,1
297,10425,-1.0,-17,1
4771,5207,-1.0,-1,1
4318,10438,-1.0,-2,1
10426,12556,1.0,-3,1
11640,23934,1.0,-1,1
3689,7491,1.0,-3,1
8126,11659,-1.0,-5,1
5271,16885,1.0,3,0
10390,16296,1.0,3,0
8229,10385,-1.0,-1,1
11632,11672,-1.0,-1,1
2855,11642,-1.0,-1,1
8558,11643,-1.0,-3,1
3372,11645,-1.0,-4,1
5252,11312,1.0,-2,1
11651,13007,1.0,-1,1
11164,11653,-1.0,-1,1
4092,10397,-1.0,-4,1
2457,10485,-1.0,-30,1
8116,11558,-1.0,-2,1
4738,5152,-1.0,-1,1
4106,5153,-1.0,-3,1
1065,11562,-1.0,-70,1
11565,23826,1.0,-1,1
339,10477,-1.0,-13,1
2472,10476,-1.0,-16,1
6898,11556,-1.0,-2,1
568,10498,-1.0,-44,1
746,11547,-1.0,-18,1
10493,15301,1.0,3,0
10452,14792,1.0,-3,1
11604,23867,1.0,3,0
3651,5199,-1.0,-3,1
2041,10467,-1.0,-3,1
11578,15338,1.0,3,0
3789,7122,1.0,-1,1
5181,12286,1.0,6,0
2773,3788,-1.0,-3,1
3781,4016,1.0,-7,1
6626,11594,-1.0,-2,1
10464,22010,1.0,4,0
3668,15596,1.0,3,0
1414,11746,-1.0,-17,1
10283,11236,1.0,-1,1
3521,10334,1.0,-1,1
10604,11759,-1.0,-2,1
3516,4940,1.0,-2,1
5428,17030,1.0,-1,1
3261,3547,-1.0,-4,1
9714,10307,-1.0,-1,1
3127,11732,-1.0,-9,1
3862,10302,-1.0,-4,1
9244,11736,-1.0,-1,1
4091,11737,-1.0,-1,1
411,11786,-1.0,-99,1
5784,11788,-1.0,-5,1
2155,10245,-1.0,-4,1
5420,11791,-1.0,-2,1
9730,11792,-1.0,-3,1
10262,12441,1.0,-1,1
344,11777,-1.0,-7,1
4779,11778,-1.0,-6,1
5365,13272,1.0,-1,1
10316,10362,1.0,-5,1
5307,5850,1.0,-1,1
4659,11688,-1.0,-3,1
5311,9078,1.0,-4,1
1328,10358,-1.0,-25,1
1625,11693,-1.0,-8,1
1367,10357,-1.0,-3,1
2266,3626,-1.0,-5,1
9417,11695,-1.0,-2,1
7604,10352,-1.0,-3,1
1694,11698,-1.0,-10,1
4466,5305,-1.0,-1,1
3672,11677,-1.0,-5,1
25,5291,-1.0,-13,1
2846,3655,-1.0,-3,1
11681,23972,1.0,-1,1
5299,16917,1.0,-1,1
4016,11686,-1.0,-7,1
5325,9528,1.0,-3,1
3589,10138,1.0,-3,1
5422,10326,-1.0,-1,1
10323,11267,1.0,-2,1
3576,10584,1.0,-1,1
