flow1,flow2,edge1,edge2
-0.5959183673469388,0.0204081632653061,"1,640","1,1479"
0.011537417428287,-0.0039215686274509,"4,561","4,5597"
-0.0817120622568093,-0.0472440944881889,"7,425","7,3718"
0.1636363636363636,-0.0129870129870129,"9,2978","2978,4460"
-0.0041152263374485,-0.1282051282051282,"10,203","10,2938"
-0.0103092783505154,-0.05,"11,591","11,2546"
-0.0194552529182879,-0.003875968992248,"13,859","13,3045"
0.0077821011673151,-0.015625,"17,202","202,3002"
1.0,0.0075757575757575,"19,1715","1715,3266"
-0.2857142857142857,-0.3671497584541063,"20,2261","20,4985"
0.125,-0.38671875,"21,303","303,5307"
0.3346303501945525,-0.015625,"23,380","380,2866"
0.084,-0.311284046692607,"24,511","511,4297"
0.0815708547759508,-0.0507606954930222,"25,1536","25,6302"
-0.1767676767676767,-0.0038910505836575,"26,4466","2257,4466"
-0.3989304204357968,0.2211981566820276,"31,2028","31,2620"
0.2424242424242424,-0.03125,"33,719","657,719"
0.0326086956521739,-0.2222222222222222,"35,115","115,2833"
0.5227272727272727,-0.0116731517509727,"36,3571","3571,3575"
-0.0474308300395256,0.1976284584980237,"39,598","39,1857"
-0.1517509727626459,-0.00390625,"40,197","40,2944"
0.0909090909090909,-0.0555555555555555,"41,497","497,2848"
-0.015625,-0.0078125,"42,708","42,3527"
-0.0121951219512195,0.0121951219512195,"44,984","44,5131"
-0.0816326530612244,0.0204081632653061,"46,2924","46,3462"
-0.3059360730593607,-0.0292397660818713,"53,4342","53,3499"
0.0163635266793351,-0.2941176470588235,"54,830","54,2357"
-0.0661157024793388,0.0330578512396694,"55,495","55,2138"
0.0233463035019455,-0.03515625,"64,520","519,520"
-0.0546875,0.3671875,"65,1255","65,5568"
-0.0392156862745098,-0.1411764705882353,"66,1413","66,2606"
-0.0972762645914396,0.7976653696498055,"68,2378","68,5353"
0.4743083003952569,0.0237154150197628,"71,769","130,769"
-0.245136186770428,0.1556420233463035,"72,1452","72,2385"
0.054054054054054,-0.015625,"73,412","412,1475"
-0.0546875,-0.12890625,"74,2241","74,129"
0.0158730158730158,-0.0334928229665071,"75,5799","5713,5799"
-0.0081967213114754,-0.099236641221374,"80,510","80,4824"
-0.01953125,-0.0392156862745098,"81,1528","81,4969"
0.0237154150197628,0.4092664092664093,"85,476","476,670"
0.0581395348837209,-0.1640625,"86,837","837,2019"
0.0344827586206896,0.01171875,"88,362","362,6261"
0.1215686274509803,-0.0912698412698412,"89,1082","1082,5078"
-0.0317460317460317,0.0158730158730158,"91,1009","91,2483"
-0.1746031746031746,-0.048076923076923,"94,1714","94,3391"
-0.2015503875968992,-0.0039682539682539,"96,2446","96,3472"
-0.0581395348837209,-0.0235294117647058,"97,1567","97,770"
0.0948616600790513,-0.0503875968992248,"99,195","195,4910"
0.081081081081081,0.03125,"100,1636","1636,1655"
-0.0463320463320463,0.3166023166023166,"102,847","102,2505"
-0.3098039215686274,0.0039215686274509,"104,419","104,648"
0.1538461538461538,-1.0,"105,1928","1928,3502"
0.0062893081761006,-0.0086206896551724,"106,118","118,909"
0.0088495575221238,0.1,"107,660","660,1122"
-0.80078125,-0.3698630136986301,"108,2548","108,3551"
0.188235294117647,-0.32421875,"109,826","826,4679"
-0.1568627450980392,0.2039215686274509,"112,1764","112,2993"
-0.3089430894308943,-0.0338983050847457,"114,361","114,354"
0.0193798449612403,-0.0352941176470588,"125,858","858,3479"
-0.234375,-0.0629921259842519,"127,2603","127,1246"
-0.0311284046692607,-0.1181102362204724,"131,455","131,3956"
-0.032258064516129,-0.024793388429752,"132,3978","132,3981"
0.22568093385214,-0.046875,"137,2516","2345,2516"
-0.4875,0.175,"138,4085","138,5272"
0.0251046025104602,-0.0212765957446808,"142,1050","1050,4980"
-0.0178571428571428,-0.0490196078431372,"143,1053","143,3407"
-0.0944444444444444,-0.0048309178743961,"144,486","144,4692"
0.0078577461389961,0.0193050193050193,"145,1233","145,1416"
-0.1607843137254902,-0.1201550387596899,"146,835","146,4210"
0.2862745098039215,0.0039525691699604,"148,644","613,644"
-0.07421875,-0.03515625,"149,852","149,4835"
-0.0232558139534883,0.0232558139534883,"152,522","152,702"
-0.3005952380952381,-0.5263157894736842,"160,4441","160,3894"
0.0350194552529182,0.0544747081712062,"163,4493","210,4493"
-0.0340746054519368,-0.005592407388509,"164,653","653,3030"
0.5,-0.9090909090909092,"165,1270","1270,2115"
-0.22265625,0.06640625,"178,588","178,4699"
0.359375,-0.0275590551181102,"180,672","672,3577"
0.2903811252268602,-0.2822966507177033,"184,2880","184,505"
-0.0077519379844961,0.0465116279069767,"185,745","185,3843"
0.2109375,-0.22265625,"189,483","483,6541"
0.0154440154440154,-0.0575916230366492,"190,1517","1517,3304"
-0.0196850393700787,0.0118110236220472,"191,842","191,2105"
0.0194552529182879,-0.0505836575875486,"196,1927","1927,3257"
0.1372549019607843,0.2156862745098039,"199,1456","1456,4221"
0.0390625,-0.0038910505836575,"201,533","533,1058"
0.0077821011673151,-0.0348837209302325,"204,228","228,5045"
-0.31640625,-0.1356589147286821,"205,618","205,2137"
0.5328185328185329,-0.0163934426229508,"208,524","524,4536"
-0.003875968992248,-0.024390243902439,"209,535","209,1078"
-0.0588235294117647,0.0294117647058823,"211,3364","211,3712"
0.0948616600790513,-0.20703125,"212,233","233,3917"
-0.4814814814814814,0.0135924101441342,"215,1107","215,5121"
1.0,-0.0410958904109589,"217,1956","1109,1956"
0.0185185185185185,-0.031578947368421,"218,659","659,4754"
0.0503875968992248,0.087431693989071,"222,1281","1281,2264"
0.0212765957446808,0.0242398164084911,"225,2815","488,2815"
-0.01171875,0.0859375,"231,2945","231,3003"
-0.1417322834645669,-0.30859375,"232,1062","232,4938"
0.0255102040816326,-0.05,"234,398","398,3670"
-0.0526315789473684,0.0526315789473684,"235,384","235,514"
0.0077519379844961,0.0274509803921568,"238,566","566,5308"
-0.01171875,0.015625,"240,1172","240,2591"
-0.1851851851851851,0.1481481481481481,"241,331","241,2679"
0.0833333333333333,-0.0406091370558375,"243,1930","1930,2543"
0.5619565217391305,-0.04,"253,3135","284,3135"
0.18796992481203,-0.0413223140495867,"254,568","568,5172"
0.0055555555555555,0.2083333333333333,"256,714","714,3730"
-0.2,0.6,"259,901","259,2233"
