node1,node2,flow,degree,class
1,640,0.5959183673469388,24,1
1,1479,0.0204081632653061,23,1
1,3450,0.2285714285714285,23,1
1,6145,0.0326530612244898,21,1
1,6146,0.0979591836734693,23,1
1,6433,0.0244897959183673,22,1
4,561,-0.011537417428287,56,1
4,1196,0.0233463035019455,69,1
4,1264,0.4280155642023346,62,1
4,1705,0.1634241245136186,81,1
4,2211,-0.0039829651643739,69,1
4,2254,0.0583657587548638,65,1
4,3097,-0.0390928988326848,55,1
4,3206,0.0155642023346303,58,1
4,5395,0.0194552529182879,75,1
4,5397,-0.0003051804379339,54,1
4,5398,-0.22568093385214,57,1
4,5399,0.0116731517509727,73,1
4,5607,0.0233463035019455,75,1
4,6064,0.0894941634241245,64,1
5,569,0.00390625,259,0
5,713,-0.00390625,238,0
5,736,0.01171875,235,0
5,737,0.0390625,260,0
5,1207,0.0234375,232,0
5,1211,0.0078125,234,0
5,1292,0.015625,237,0
5,1295,-0.0155490029182879,246,0
5,1301,0.01171875,243,0
5,1302,0.02734375,239,0
5,1304,0.0078125,257,0
5,1563,0.00390625,248,0
5,1697,0.03515625,234,0
5,2220,0.015625,255,0
5,2285,0.00390625,260,0
5,2373,0.0001211240310077,238,0
5,2458,-0.00390625,254,0
5,2459,0.03125,244,0
5,2569,0.011703431372549,295,0
5,2572,0.00390625,266,0
5,3131,0.015625,246,0
5,3133,0.0078125,236,0
5,3612,0.00390625,237,0
5,3734,0.00390625,237,0
5,3805,0.015625,231,0
5,3806,0.01953125,240,0
5,3808,0.015625,253,0
5,3809,0.01953125,242,0
5,3815,0.0078125,232,0
5,3816,0.015625,238,0
5,5215,0.01171875,233,0
5,5429,0.015625,244,0
5,5431,0.03125,237,0
5,5434,0.01953125,250,0
5,5435,0.01171875,249,0
5,5436,0.03125,244,0
5,5439,0.00390625,231,0
5,5661,0.00390625,247,0
5,5663,0.00390625,242,0
5,5669,-0.0272221546692607,232,0
5,5670,0.0078125,253,0
5,5671,0.03515625,248,0
5,5686,0.0078125,251,0
5,5688,0.03125,236,0
5,5693,-9.227362204724392e-05,235,0
5,6369,-0.01171875,293,0
7,425,0.0817120622568093,37,1
7,1687,-0.1033732651122889,44,1
7,2361,-0.005544747081712,35,1
7,2563,0.009483383024239,45,1
7,3878,-0.0346876602419087,35,1
7,3887,0.0233463035019455,32,1
7,3889,0.0077821011673151,32,1
7,3915,0.2622693611145977,33,1
7,6005,0.0076905470359349,52,1
7,6006,0.0110297496859585,38,1
9,1783,0.0181818181818181,83,1
9,2978,0.1636363636363636,62,1
9,4460,0.0441558441558441,26,1
9,4745,0.1662999420961204,27,1
9,4766,0.0363636363636363,35,1
9,5175,0.1818181818181818,61,1
9,5185,0.0181818181818181,26,1
10,203,0.0041152263374485,73,1
10,718,0.1152263374485596,83,1
10,904,0.1193415637860082,68,1
10,1740,0.0411522633744856,63,1
10,1777,0.0041152263374485,75,1
10,1958,-0.2927390667503662,46,1
10,2131,0.0082304526748971,86,1
10,2132,0.0905349794238683,79,1
10,2133,0.0041152263374485,80,1
10,2151,0.0041152263374485,73,1
10,2995,0.0452674897119341,69,1
10,3747,0.0164609053497942,57,1
10,3762,0.0246913580246913,70,1
10,4486,0.0288065843621399,76,1
10,4500,0.074074074074074,78,1
10,5036,0.0041152263374485,66,1
11,540,0.0309278350515463,84,1
11,591,0.0103092783505154,68,1
11,653,0.1649484536082474,66,1
11,1185,0.0103092783505154,83,1
11,1670,-0.0349185234452943,62,1
11,1671,0.0206185567010309,76,1
11,2545,0.0059424661234412,79,1
11,3019,0.134020618556701,69,1
