node1,node2,flow
12557,25024,1.0
9554,21398,1.0
6219,6218,1.0
2505,14872,1.0
6218,17785,1.0
6163,17744,1.0
12465,10376,1.0
12466,24919,1.0
6165,17745,1.0
12467,24922,1.0
12468,24923,1.0
12469,24924,1.0
6169,14780,1.0
9641,16279,1.0
12471,24926,1.0
6176,1104,1.0
6177,6926,1.0
12474,24928,1.0
6178,14261,1.0
12476,24929,1.0
12477,24930,1.0
6179,17753,1.0
12478,24932,1.0
9639,21486,1.0
12480,24933,1.0
12481,19042,1.0
9638,860,1.0
12482,16869,1.0
12483,12484,1.0
6164,8734,1.0
9642,21495,1.0
6217,454,1.0
12462,24914,1.0
9649,2016,1.0
12444,24892,1.0
12445,24894,1.0
12446,24896,1.0
12447,24897,1.0
12448,24898,1.0
12449,845,1.0
9648,7242,1.0
6150,17727,1.0
6151,14212,1.0
9646,21501,1.0
12451,24905,1.0
12452,5843,1.0
9644,21499,1.0
6155,9212,1.0
2578,14912,1.0
6158,17735,1.0
12456,24908,1.0
6160,17737,1.0
12459,24912,1.0
12460,24913,1.0
12461,1502,1.0
6161,12151,1.0
9637,21483,1.0
12484,10111,1.0
12485,4879,1.0
6184,17758,1.0
9615,11390,1.0
9613,21453,1.0
9612,17802,1.0
9611,13243,1.0
12499,24955,1.0
9608,16942,1.0
12501,24957,1.0
9607,21447,1.0
9605,21446,1.0
12503,11466,1.0
12504,24961,1.0
2514,14882,1.0
12505,24962,1.0
9601,21441,1.0
9600,21439,1.0
9598,506,1.0
12506,9253,1.0
9597,21436,1.0
9596,21435,1.0
12508,1478,1.0
12509,15225,1.0
12510,24969,1.0
6216,7273,1.0
12496,24950,1.0
9616,9615,1.0
9618,21458,1.0
12490,13238,1.0
12486,24936,1.0
2542,9445,1.0
9632,21479,1.0
6185,16554,1.0
9631,19484,1.0
12487,19376,1.0
12488,24937,1.0
9628,21475,1.0
6187,17767,1.0
9626,13032,1.0
9625,21469,1.0
12495,24944,1.0
9624,21464,1.0
12492,24941,1.0
6190,17770,1.0
6191,17771,1.0
6192,17772,1.0
9622,9316,1.0
9621,21462,1.0
9620,21460,1.0
6194,4948,1.0
12494,9238,1.0
12306,24742,1.0
9766,21645,1.0
6007,17580,1.0
3014,8853,1.0
3011,649,1.0
12135,24528,1.0
12136,5617,1.0
12138,24532,1.0
12139,24533,1.0
9936,21855,1.0
12141,24537,1.0
12142,14387,1.0
12143,24538,1.0
9934,21854,1.0
12144,592,1.0
12145,11609,1.0
9932,13116,1.0
9930,21570,1.0
9928,18143,1.0
9927,4785,1.0
12147,12526,1.0
9926,21845,1.0
9925,3335,1.0
12149,16035,1.0
5818,17409,1.0
12150,24547,1.0
9924,21841,1.0
12134,24525,1.0
5810,17399,1.0
12152,24550,1.0
3016,15187,1.0
12119,3027,1.0
12120,24502,1.0
12121,24503,1.0
12122,3663,1.0
12123,11565,1.0
5800,17385,1.0
9955,916,1.0
9954,18260,1.0
9952,21870,1.0
9951,21869,1.0
3032,15195,1.0
12126,24511,1.0
9949,21866,1.0
12128,24512,1.0
5807,17393,1.0
9943,21861,1.0
12130,24520,1.0
9942,21860,1.0
12131,20560,1.0
9940,21856,1.0
3017,9905,1.0
12132,24522,1.0
12133,24524,1.0
9923,4672,1.0
12153,24552,1.0
5862,17451,1.0
12171,24579,1.0
2959,15142,1.0
9900,21824,1.0
12172,9010,1.0
12173,851,1.0
9899,21823,1.0
2956,15139,1.0
2955,577,1.0
12175,24582,1.0
12176,24583,1.0
12177,24586,1.0
12178,24587,1.0
9898,21822,1.0
9897,19635,1.0
12180,24588,1.0
2947,15131,1.0
12181,24589,1.0
9894,8038,1.0
9893,11242,1.0
12183,21922,1.0
5857,17446,1.0
12185,24592,1.0
9891,21816,1.0
5860,17450,1.0
9901,21825,1.0
5837,17433,1.0
9922,6103,1.0
12170,24578,1.0
12155,24553,1.0
9920,21837,1.0
5823,17413,1.0
9919,21836,1.0
9918,21835,1.0
2982,777,1.0
12157,24568,1.0
5826,17418,1.0
2979,15162,1.0
12158,17510,1.0
12159,11077,1.0
2976,15160,1.0
12161,17399,1.0
12163,24572,1.0
9909,14132,1.0
12165,24574,1.0
9905,21828,1.0
9903,9850,1.0
12166,24576,1.0
12167,24577,1.0
12168,15383,1.0
5835,13793,1.0
5836,17432,1.0
5797,6440,1.0
12118,13308,1.0
5796,4515,1.0
5750,17346,1.0
5751,17347,1.0
3108,9384,1.0
5752,10155,1.0
12066,24448,1.0
12067,24449,1.0
12069,24450,1.0
12071,21010,1.0
9991,21915,1.0
12072,12979,1.0
12073,24455,1.0
3102,15233,1.0
9989,21911,1.0
5757,17354,1.0
3100,3099,1.0
9988,1777,1.0
3098,9818,1.0
12075,24458,1.0
5760,12559,1.0
5763,8971,1.0
12077,24462,1.0
9983,13446,1.0
12078,24465,1.0
12079,24466,1.0
12064,24445,1.0
12063,22390,1.0
5794,17379,1.0
9993,8900,1.0
10005,1600,1.0
5739,11043,1.0
5741,17332,1.0
12051,9281,1.0
10003,17340,1.0
10002,4985,1.0
5744,17337,1.0
12052,8532,1.0
12053,24438,1.0
12054,24439,1.0
12056,1524,1.0
10001,21930,1.0
12058,14230,1.0
12059,16514,1.0
9998,21924,1.0
9997,14664,1.0
9996,21921,1.0
12060,6644,1.0
9995,21918,1.0
9994,10859,1.0
5748,6328,1.0
12061,4065,1.0
12062,24443,1.0
