node1,node2,flow
36561,24419,1.0
48888,93843,1.0
25950,68629,1.0
32562,63008,1.0
36560,79434,1.0
16256,14658,1.0
48893,93853,1.0
16257,60787,1.0
34698,77378,1.0
29825,35944,1.0
32564,75143,1.0
29824,72330,1.0
52137,1758,1.0
26976,415,1.0
52138,19739,1.0
52139,97815,1.0
52140,97816,1.0
52141,97817,1.0
48889,93846,1.0
42716,86475,1.0
16042,49402,1.0
30257,17651,1.0
36583,79461,1.0
15873,219,1.0
44284,40589,1.0
42697,80571,1.0
15877,60567,1.0
48986,93998,1.0
41390,84844,1.0
6616,13392,1.0
34711,12839,1.0
15881,37632,1.0
52072,97714,1.0
48983,93997,1.0
15883,60571,1.0
44761,37757,1.0
37432,12054,1.0
29927,37969,1.0
52071,61169,1.0
48982,93996,1.0
32466,23916,1.0
52069,97706,1.0
6619,5148,1.0
29928,65988,1.0
52068,21298,1.0
25938,26760,1.0
32459,39347,1.0
32461,19620,1.0
52064,97700,1.0
44762,13245,1.0
52065,13938,1.0
52066,97701,1.0
48990,52267,1.0
48989,2086,1.0
26962,44514,1.0
52067,24832,1.0
25186,18556,1.0
48988,39906,1.0
32462,15292,1.0
41391,84845,1.0
29930,22038,1.0
25185,67981,1.0
48981,93995,1.0
48980,79164,1.0
52104,97769,1.0
15897,38198,1.0
45100,3987,1.0
6596,33617,1.0
48972,84320,1.0
29915,34568,1.0
48970,80671,1.0
48969,49096,1.0
32471,75044,1.0
29914,72411,1.0
32472,16460,1.0
40223,35919,1.0
48968,33984,1.0
29912,72408,1.0
26713,9688,1.0
44760,88774,1.0
32474,49772,1.0
36579,43521,1.0
32476,11029,1.0
48967,22715,1.0
48973,32040,1.0
42700,86454,1.0
36581,34348,1.0
29916,72413,1.0
42698,24719,1.0
37433,80378,1.0
29925,72423,1.0
42699,38244,1.0
52073,97717,1.0
25940,68617,1.0
48979,93994,1.0
29924,21198,1.0
29922,72421,1.0
29921,45101,1.0
29919,72419,1.0
35027,77741,1.0
48976,60568,1.0
48975,93984,1.0
6601,51718,1.0
29917,35808,1.0
36582,52878,1.0
48991,94003,1.0
44763,88777,1.0
48992,94007,1.0
15843,60538,1.0
52057,97687,1.0
29939,27739,1.0
49011,13098,1.0
49010,3704,1.0
52058,97688,1.0
29938,72442,1.0
52059,34036,1.0
32446,4116,1.0
49009,94021,1.0
41392,84846,1.0
49008,37720,1.0
49007,19757,1.0
49005,94020,1.0
15847,60542,1.0
15849,60543,1.0
49004,26303,1.0
26714,69334,1.0
6649,3507,1.0
35026,5662,1.0
32444,34383,1.0
36589,79464,1.0
52056,6932,1.0
32439,75027,1.0
42687,2168,1.0
49017,25500,1.0
