node1,node2,flow,AFRC,class
38553,81547,1.0,2,0
15613,32455,-1.0,-11,1
22722,52063,-1.0,-4,1
32456,75035,1.0,2,0
42695,86445,1.0,2,0
6866,42696,-1.0,-11,1
2953,29933,-1.0,-4,1
6628,55361,1.0,2,0
25937,68616,1.0,2,0
283,25934,-1.0,-20,1
49001,94018,1.0,2,0
44766,88781,1.0,2,0
4734,52060,-1.0,-12,1
15852,35335,1.0,-4,1
44764,88779,1.0,2,0
38554,81548,1.0,2,0
2077,48966,-1.0,-27,1
22270,48965,-1.0,4,0
6537,55331,1.0,2,0
15984,55757,1.0,-7,1
20985,52097,-1.0,-13,1
35034,77747,1.0,2,0
29890,55696,1.0,-6,1
52099,97753,1.0,2,0
6536,55329,1.0,2,0
12021,48935,-1.0,-4,1
32498,75068,1.0,2,0
48945,93951,1.0,2,0
23318,25182,-1.0,-4,1
48944,93950,1.0,2,0
4158,6548,-1.0,-46,1
740,39984,-1.0,-6,1
48943,93949,1.0,2,0
52095,97750,1.0,2,0
4009,29898,-1.0,-25,1
25947,30538,1.0,-4,1
41380,84831,1.0,2,0
36577,74569,1.0,3,0
24553,48933,-1.0,-7,1
42713,86473,1.0,2,0
3387,16031,-1.0,-15,1
25175,67968,1.0,2,0
29874,39385,1.0,-4,1
12500,32510,-1.0,-13,1
230,52103,-1.0,-23,1
11069,16041,-1.0,-4,1
16012,60644,1.0,2,0
16000,37174,1.0,-4,1
42712,86471,1.0,2,0
41377,84823,1.0,2,0
48929,93928,1.0,2,0
52076,97723,1.0,2,0
9158,32481,-1.0,-10,1
19403,48959,-1.0,-4,1
39096,82178,1.0,2,0
52081,97729,1.0,2,0
24933,48956,-1.0,-7,1
52082,97730,1.0,2,0
48961,93969,1.0,2,0
48964,93970,1.0,2,0
4979,15914,-1.0,-5,1
15917,55127,1.0,3,0
10337,52079,-1.0,-34,1
34708,77385,1.0,2,0
2077,15920,-1.0,-31,1
32479,75051,1.0,2,0
32480,75052,1.0,2,0
46735,52083,-1.0,-4,1
27401,52088,-1.0,-4,1
9532,29903,-1.0,-19,1
52090,97745,1.0,2,0
6331,41381,-1.0,-15,1
12149,32493,-1.0,-9,1
42707,86462,1.0,2,0
9335,15963,-1.0,-6,1
15098,48947,-1.0,-7,1
3658,37435,-1.0,-45,1
35595,77108,1.0,3,0
15949,18839,1.0,-4,1
52084,97731,1.0,2,0
15941,60605,1.0,3,0
7283,25945,-1.0,-18,1
17500,48954,-1.0,-4,1
193,15943,-1.0,-12,1
10841,15946,-1.0,-5,1
42706,46811,1.0,2,0
52087,97739,1.0,2,0
48952,93964,1.0,2,0
4060,41346,-1.0,-10,1
42774,86542,1.0,2,0
6452,16698,-1.0,-14,1
3175,16703,-1.0,-39,1
39129,82216,1.0,2,0
39130,82217,1.0,2,0
35590,78325,1.0,2,0
48708,93632,1.0,2,0
36518,79373,1.0,-6,1
9576,44411,-1.0,-9,1
4218,16697,-1.0,-25,1
16686,61099,1.0,2,0
48715,93640,1.0,2,0
16693,61101,1.0,2,0
48714,93638,1.0,2,0
8162,52238,-1.0,-11,1
52239,97913,1.0,2,0
1126,42772,-1.0,-17,1
25142,67927,1.0,2,0
3680,16712,-1.0,-16,1
7692,52242,-1.0,-9,1
42735,86506,1.0,2,0
7722,48696,-1.0,-22,1
35293,39135,-1.0,-4,1
48695,93615,1.0,2,0
2586,29701,-1.0,-13,1
39796,83001,1.0,2,0
7708,48692,-1.0,-10,1
38522,81508,1.0,2,0
1211,37486,-1.0,-19,1
25139,67926,1.0,2,0
48697,93621,1.0,2,0
11483,48702,-1.0,-24,1
4230,48701,-1.0,-11,1
8797,16718,-1.0,-12,1
52243,97917,1.0,2,0
8564,48699,-1.0,-10,1
32667,75241,1.0,2,0
48698,93622,1.0,2,0
52244,97918,1.0,2,0
52245,97919,1.0,2,0
29703,36127,1.0,-5,1
29719,72250,1.0,2,0
38530,79826,1.0,3,0
14369,48718,-1.0,-4,1
42766,56336,1.0,3,0
16953,36525,-1.0,-24,1
16647,61069,1.0,2,0
10501,16649,-1.0,-9,1
32399,48729,-1.0,-10,1
1374,48728,-1.0,-6,1
48727,93656,1.0,2,0
48734,93665,1.0,2,0
16632,27845,1.0,-12,1
16631,26317,1.0,2,0
16616,61050,1.0,2,0
32648,45686,1.0,-7,1
35465,78181,1.0,2,0
48735,93669,1.0,2,0
3121,6186,-1.0,-28,1
36528,79382,1.0,2,0
45995,52229,-1.0,2,0
36527,79381,1.0,2,0
48725,93654,1.0,2,0
16657,17191,1.0,-16,1
16676,61092,1.0,2,0
38525,81509,1.0,2,0
39124,82215,1.0,2,0
7092,39125,-1.0,-14,1
48719,84246,1.0,3,0
8840,16682,-1.0,-10,1
37483,77412,1.0,3,0
32656,56685,1.0,2,0
48723,93653,1.0,2,0
5871,41328,-1.0,-12,1
654,29716,-1.0,-20,1
34680,77360,1.0,2,0
29712,72241,1.0,2,0
26698,69327,1.0,2,0
16670,29066,1.0,-5,1
6054,8593,1.0,-8,1
52273,97950,1.0,2,0
16830,61187,1.0,2,0
16833,61188,1.0,2,0
6314,42795,-1.0,-28,1
27348,52275,-1.0,-4,1
9629,42796,-1.0,-13,1
21543,25135,-1.0,-7,1
1942,26694,-1.0,-20,1
17274,42797,-1.0,-12,1
18954,35072,-1.0,-4,1
23663,41320,-1.0,-4,1
45144,89216,1.0,2,0
42794,86560,1.0,2,0
16812,61172,1.0,3,0
16813,61173,1.0,2,0
29679,72208,1.0,2,0
48673,93562,1.0,2,0
30390,42787,-1.0,-5,1
13916,16821,-1.0,3,0
17255,48671,-1.0,-7,1
4655,52272,-1.0,-20,1
16847,61203,1.0,2,0
29668,72191,1.0,2,0
